epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9857,2.40614,5.06554,2.51949,0.52234,0.47457,0.48706,0.31769,2.46021,3.04821,2.62942,0.000368737,0.000368737,0.000368737
2,142.038,2.65695,3.1547,2.69276,0.50196,0.51052,0.48529,0.31603,2.45521,2.95605,2.64935,0.000731754,0.000731754,0.000731754
3,209.604,2.70738,3.02896,2.71915,0.32985,0.39463,0.36431,0.24094,2.48764,4.28563,2.58343,0.00108744,0.00108744,0.00108744
4,275.639,2.66485,2.89716,2.68343,0.50319,0.58035,0.55349,0.36087,2.42261,2.42134,2.54838,0.001078,0.001078,0.001078
5,343.007,2.52647,2.68191,2.60588,0.56895,0.57952,0.61324,0.42133,2.23799,2.28009,2.43011,0.001067,0.001067,0.001067
6,409.275,2.48665,2.55879,2.59373,0.66514,0.65283,0.67708,0.46756,2.23725,2.10454,2.43438,0.00105601,0.00105601,0.00105601
7,476.461,2.4177,2.3634,2.54968,0.71322,0.64743,0.69769,0.48021,2.18904,1.91807,2.3785,0.00104501,0.00104501,0.00104501
8,543.767,2.3402,2.28976,2.50004,0.71079,0.70254,0.72762,0.51402,2.11833,1.84095,2.32355,0.00103401,0.00103401,0.00103401
9,610.817,2.34463,2.24739,2.49361,0.68742,0.75327,0.71858,0.49783,2.19965,1.70723,2.32851,0.00102301,0.00102301,0.00102301
10,678.058,2.27358,2.13706,2.46966,0.72099,0.7182,0.74876,0.53314,2.0701,1.65764,2.31259,0.00101201,0.00101201,0.00101201
11,743.872,2.24182,2.05188,2.45421,0.70732,0.7085,0.73499,0.52551,2.16734,1.72586,2.33345,0.00100101,0.00100101,0.00100101
12,811.476,2.23565,2.03488,2.43247,0.81862,0.67365,0.77131,0.56762,2.05564,1.65243,2.29437,0.000990012,0.000990012,0.000990012
13,878.256,2.17315,1.96114,2.39209,0.71247,0.74842,0.76195,0.55728,2.01571,1.71175,2.22441,0.000979013,0.000979013,0.000979013
14,945.277,2.15439,1.91993,2.38668,0.82271,0.70734,0.77836,0.56791,1.96408,1.60953,2.24099,0.000968014,0.000968014,0.000968014
15,1011.19,2.11632,1.85098,2.36197,0.7341,0.70833,0.74309,0.53105,1.94844,1.58041,2.22026,0.000957015,0.000957015,0.000957015
16,1077.52,2.115,1.86073,2.35664,0.74658,0.77209,0.79723,0.59318,1.86006,1.48402,2.17203,0.000946016,0.000946016,0.000946016
17,1144.49,2.0775,1.79792,2.32819,0.78927,0.71758,0.7834,0.58628,1.89543,1.50084,2.18941,0.000935018,0.000935018,0.000935018
18,1212.45,2.04994,1.72772,2.32877,0.73572,0.78937,0.79643,0.59678,1.83928,1.39786,2.16029,0.000924019,0.000924019,0.000924019
19,1280.15,2.03892,1.67822,2.30964,0.72545,0.82851,0.81273,0.60139,1.85301,1.42569,2.16033,0.00091302,0.00091302,0.00091302
20,1346.45,2.02548,1.66506,2.29795,0.79676,0.75277,0.81317,0.60758,1.82152,1.42765,2.16435,0.000902021,0.000902021,0.000902021
21,1414.28,1.99563,1.6416,2.28626,0.79683,0.77856,0.81383,0.61743,1.81702,1.39577,2.15607,0.000891022,0.000891022,0.000891022
22,1480.72,2.00307,1.60199,2.2977,0.78539,0.76734,0.80825,0.61671,1.76721,1.37415,2.11627,0.000880023,0.000880023,0.000880023
23,1547.93,1.94555,1.57535,2.26731,0.77957,0.81022,0.81634,0.61215,1.8553,1.36744,2.14659,0.000869024,0.000869024,0.000869024
24,1615.13,1.94438,1.54767,2.27396,0.77126,0.7748,0.80554,0.61419,1.75439,1.37721,2.1101,0.000858025,0.000858025,0.000858025
25,1681.5,1.94513,1.53876,2.26791,0.79235,0.77885,0.82869,0.64082,1.77923,1.40718,2.12149,0.000847026,0.000847026,0.000847026
26,1747.9,1.9053,1.47642,2.23595,0.82272,0.79618,0.82652,0.63254,1.76358,1.32198,2.11437,0.000836027,0.000836027,0.000836027
27,1813.93,1.92635,1.51802,2.25568,0.77966,0.78449,0.80675,0.6232,1.78334,1.32226,2.1343,0.000825029,0.000825029,0.000825029
28,1881.13,1.88821,1.4508,2.23598,0.83705,0.78306,0.84508,0.64663,1.75056,1.27412,2.09178,0.00081403,0.00081403,0.00081403
