epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.9008,1.21642,4.35872,2.53126,0.32051,0.38522,0.30815,0.1403,2.82185,3.82017,3.3615,0.000414272,0.000414272,0.000414272
2,104.189,1.12257,2.24573,2.39388,0.39608,0.38006,0.33777,0.18343,2.92658,4.18712,3.65715,0.000826826,0.000826826,0.000826826
3,153.105,1.13378,2.23963,2.38238,0.39161,0.40618,0.35862,0.17554,3.61354,3.92443,4.11543,0.00123525,0.00123525,0.00123525
4,201.28,1.05582,2.11765,2.3206,0.67114,0.65753,0.72012,0.5337,1.76037,2.22152,2.35858,0.00123144,0.00123144,0.00123144
5,249.445,0.9435,1.97927,2.25088,0.74605,0.68495,0.75752,0.58975,1.58681,1.72925,2.11165,0.00122525,0.00122525,0.00122525
6,297.976,0.89649,1.88971,2.21758,0.61798,0.71734,0.71386,0.5293,1.57828,2.01592,2.07447,0.00121906,0.00121906,0.00121906
7,346.022,0.85832,1.79142,2.18394,0.68414,0.75735,0.79013,0.5931,1.75635,2.05841,2.30454,0.00121287,0.00121287,0.00121287
8,394.903,0.8684,1.76783,2.19086,0.77384,0.59785,0.7171,0.53945,1.67793,2.0748,2.17039,0.00120669,0.00120669,0.00120669
9,443.664,0.80072,1.66313,2.15047,0.7089,0.76614,0.80426,0.64535,1.44812,1.74346,1.93669,0.0012005,0.0012005,0.0012005
10,492.856,0.78808,1.6405,2.13381,0.67706,0.75493,0.76518,0.6467,1.39123,1.52626,1.82491,0.00119431,0.00119431,0.00119431
11,541.501,0.77094,1.58352,2.13672,0.76478,0.72461,0.82326,0.67256,1.32087,1.52065,1.75169,0.00118812,0.00118812,0.00118812
12,589.92,0.78322,1.56062,2.1328,0.77991,0.72942,0.79592,0.6667,1.26106,1.4907,1.74016,0.00118194,0.00118194,0.00118194
13,638.553,0.73898,1.529,2.10384,0.8109,0.69618,0.80373,0.65269,1.49167,1.59828,1.97366,0.00117575,0.00117575,0.00117575
14,687.071,0.74714,1.50758,2.12007,0.72286,0.80501,0.8356,0.71679,1.30252,1.47298,1.80102,0.00116956,0.00116956,0.00116956
15,735.696,0.74455,1.44648,2.11118,0.73808,0.80828,0.81025,0.68915,1.34498,1.56839,1.78199,0.00116337,0.00116337,0.00116337
16,784.863,0.71987,1.46809,2.10462,0.77469,0.65995,0.7528,0.61604,1.2719,1.65253,1.68466,0.00115719,0.00115719,0.00115719
17,834.333,0.70787,1.44597,2.09853,0.78829,0.83381,0.8657,0.74041,1.31365,1.24302,1.78834,0.001151,0.001151,0.001151
18,883.634,0.71482,1.34433,2.08902,0.81623,0.81267,0.86565,0.72937,1.22777,1.28783,1.63308,0.00114481,0.00114481,0.00114481
19,932.308,0.68621,1.33205,2.06635,0.84914,0.81849,0.88449,0.76436,1.18931,1.18072,1.56818,0.00113863,0.00113863,0.00113863
20,981.108,0.67811,1.32052,2.06113,0.82031,0.80292,0.86639,0.73763,1.29042,1.57574,1.70567,0.00113244,0.00113244,0.00113244
21,1029.82,0.67855,1.30602,2.07347,0.72816,0.7923,0.82904,0.66761,1.28576,1.52134,1.69872,0.00112625,0.00112625,0.00112625
22,1077.97,0.67586,1.29181,2.05445,0.83514,0.75859,0.86656,0.74925,1.15971,1.33352,1.53049,0.00112006,0.00112006,0.00112006
23,1127.55,0.67578,1.26433,2.06003,0.83142,0.85931,0.89892,0.78855,1.12985,1.09538,1.5004,0.00111388,0.00111388,0.00111388
24,1176.61,0.6476,1.25416,2.05043,0.75729,0.84294,0.85088,0.7472,1.06227,1.08989,1.43029,0.00110769,0.00110769,0.00110769
25,1227.02,0.6485,1.21914,2.04232,0.8494,0.80752,0.88983,0.78799,1.23182,1.16168,1.64609,0.0011015,0.0011015,0.0011015
26,1275.84,0.65445,1.21141,2.04414,0.8711,0.81569,0.89509,0.69499,1.40243,1.19956,1.67431,0.00109531,0.00109531,0.00109531
27,1324,0.6526,1.20296,2.04166,0.85179,0.87403,0.91314,0.81486,1.18145,0.99514,1.55373,0.00108913,0.00108913,0.00108913
28,1373.42,0.63798,1.21707,2.03435,0.87408,0.83784,0.92221,0.811,0.97387,1.0164,1.32339,0.00108294,0.00108294,0.00108294
29,1421.45,0.63648,1.11636,2.03278,0.89165,0.84183,0.92188,0.82868,1.10238,1.04678,1.47381,0.00107675,0.00107675,0.00107675
30,1470.3,0.61103,1.1432,2.02548,0.79299,0.84395,0.86212,0.75828,1.05583,1.15466,1.39295,0.00107056,0.00107056,0.00107056
31,1519.11,0.62653,1.13248,2.02894,0.82508,0.82339,0.89385,0.77918,1.19282,1.22573,1.59781,0.00106437,0.00106437,0.00106437
32,1568.65,0.62827,1.14835,2.03062,0.86599,0.83799,0.87912,0.74064,1.18105,1.20315,1.56473,0.00105819,0.00105819,0.00105819
33,1617.97,0.62251,1.12409,2.03147,0.86283,0.86666,0.92816,0.79357,1.22427,1.19115,1.65644,0.001052,0.001052,0.001052
34,1666.26,0.60256,1.12523,2.01293,0.86382,0.79106,0.88643,0.78193,1.17926,1.10957,1.50194,0.00104581,0.00104581,0.00104581
35,1715.19,0.59563,1.08541,2.02433,0.78386,0.80687,0.89319,0.7969,1.0782,1.24066,1.41544,0.00103962,0.00103962,0.00103962
36,1763.62,0.61511,1.09213,2.0196,0.82411,0.84577,0.90389,0.80587,0.99586,0.92459,1.3125,0.00103344,0.00103344,0.00103344
37,1811.97,0.59663,1.04831,2.01499,0.82512,0.81474,0.87902,0.77808,1.11657,1.13583,1.47688,0.00102725,0.00102725,0.00102725
